ID Username Food_expense House_expense Work_expense Technology_expense Income
830 Rok 824 2905 228 5290 9447
6698 Aksandra 389 4635 43 3177 8444
331 Kaja 1490 113 163 3871 5837
5390 Dimitri 808 3846 313 5155 10322
3988 Shouk 1182 1218 224 1313 4137
596 Otto 859 2742 260 3478 7305
3380 Savvas 1320 2390 336 1290 5536
3773 Dimitra 200 1007 397 949 4012
7503 Gaja 789 2152 317 1858 5316
3218 Erika 150 3548 55 2881 6834
9274 Vedran 1481 3950 18 2629 8278
8890 Bojan 460 2033 247 2407 5347
5475 Marko 80 2861 240 3448 6832
1486 Avgust 1042 1256 114 1749 4361
5043 Menja 1088 359 200 2192 4181
2002 Manjana 589 3488 107 4404 8788
4194 Maraya 1259 4440 273 3269 9441
6170 Gregor384 1548 1925 253 5409 9335
8281 jhsdHH 83 949 224 600 6335
2645 Andrej 676 3912 98 2556 7442
1624 helga335 855 4241 59 2468 7823
2716 123456 1211 820 180 4048 6459
1412 IamGroot 1574 2810 110 4990 9684
1815 Hercules 1534 4564 200 2522 9022
6770 Sanja 1041 165 150 4649 6205
9200 gibanica 367 2069 3 1616 4285
1545 eedd 1301 625 392 2917 5435
9838 eddie 1071 2765 379 4823 9238
7254 kakadus 1062 2722 367 976 5327
9622 nonome 629 1293 194 222 2538
6872 Friends42 1300 2790 394 5119 9803
1740 Ohjoj 1411 4361 266 5185 11423
6569 FerrariMe 165 4078 83 41 4567
55 batman 272 4512 175 5918 11077
12 Mr.Bean 544 1342 378 1800 4314
2091 grinch 411 2002 218 1919 6048
9116 Moon@ 514 453 106 2593 3866
8886 Gin 876 550 390 700 2794
5213 G&T 1156 3462 56 5250 10124
5534 AA 1517 3083 31 409 5240
7703 FuckImOld 540 1313 258 2723 5034
6598 BillGates 492 1400 48 5058 7288
3620 player1 602 4621 179 5870 11472
